,unit_ID,school,term,variable,url,status_code,metadata_date,date_originally_scraped,count,context
113,102553,Arizona State University-Tempe,cut faculty,lt_reduction_of_institution_faculty,https://semte.engineering.asu.edu/mechanical-graduate/,timeout,['2020-09-04T12:49:00-07:00'],2020-10-20 23:21:09.192066,0,NoContext
118,102553,Arizona State University-Tempe,cut sports,lt_reduction_of_athletic_spending_programs,https://thesundevils.com/news/2020/9/10/all-five-sun-devils-make-cut-at-ana-inspiration.aspx,timeout,No_meta_date,2020-10-20 23:21:09.192081,0,NoContext
75,102553,Arizona State University-Tempe,postpone maintenance,st_deferred_infrastructure_improvement,https://eoss.asu.edu/health/announcements/coronavirus,timeout,No_meta_date,2020-10-20 23:21:09.192026,0,NoContext
80,102553,Arizona State University-Tempe,suspend capital projects,st_deferred_infrastructure_improvement,https://isearch.asu.edu/profile/1450867,timeout,['2014-11-04T13:52:02-07:00'],2020-10-20 23:21:09.192037,0,NoContext
459,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://hrfoodbank.org/christoper-newport-university-and-smithfield-giving-back/,timeout,No_meta_date,2020-10-20 23:21:09.192487,0,NoContext
460,102614,Christopher Newport University,food pantry,lt_improve_student_experience_gr,https://williamsburghouseofmercy.org/tag/christopher-newport-university/,timeout,No_meta_date,2020-10-20 23:21:09.192491,0,NoContext
416,102614,Christopher Newport University,administrative budget cuts,lt_reduction_or_elimination_of_administrative_departments,http://www.baltimoresun.com/dp-nws-cnu-trible-announcement-20161202-story.html,timeout,No_meta_date,2020-10-20 23:21:09.192441,0,NoContext
434,102614,Christopher Newport University,close buildings,lt_liquidate_fixed_assets,https://www.baltimoresun.com/dp-nws-nn-cnu-dorms-20170320-story.html,timeout,['2020-08-06T14:05:46-0400'],2020-10-20 23:21:09.192454,0,NoContext
269,102614,Christopher Newport University,pay cuts,st_reduce_staff_and_faculty_support,https://www.growthspotter.com/dp-nws-cnu-board-of-visitors-meeting-20140913-story.html,timeout,No_meta_date,2020-10-20 23:21:09.192258,0,NoContext
271,102614,Christopher Newport University,salary reductions,st_reduce_staff_and_faculty_support,https://www.capitalgazette.com/dp-nws-cnu-budget-cuts-20161114-story.html,timeout,No_meta_date,2020-10-20 23:21:09.192272,0,NoContext
272,102614,Christopher Newport University,salary reductions,st_reduce_staff_and_faculty_support,https://www.orlandosentinel.com/dp-nws-cnu-budget-cuts-20161114-story.html,timeout,No_meta_date,2020-10-20 23:21:09.192274,0,NoContext
361,102614,Christopher Newport University,reduce international support,lt_reduction_or_elimination_of_student_support_programs,https://reiffcenterblog.cnu.edu/2014/08/the-true-potential-of-social-media/,timeout,No_meta_date,2020-10-20 23:21:09.192395,0,NoContext
343,102614,Christopher Newport University,program cuts,lt_reduction_or_elimination_of_academic_departments_programs,https://www.chicagotribune.com/dp-nws-cnu-budget-cuts-20161114-story.html,timeout,['2020-09-02T14:33:54-0400'],2020-10-20 23:21:09.192359,0,NoContext
819,102632,Taylor University,campus climate,lt_improve_student_experience_gr,https://www.tandfonline.com/doi/abs/10.1080/00918369.2013.774874,timeout,No_meta_date,2020-10-20 23:21:09.192741,0,NoContext
813,102632,Taylor University,offer amenities,lt_improve_student_experience_gr,https://www.showmegrantcounty.com/tag/lodging-near-taylor-university/,timeout,No_meta_date,2020-10-20 23:21:09.192738,0,NoContext
840,102632,Taylor University,food pantry,lt_improve_student_experience_gr,https://www.campbellsville.edu/news/campbellsville-universitys-physical-plant-collects-food-items-for-taylor-county-food-pantry/,timeout,No_meta_date,2020-10-20 23:21:09.192757,0,NoContext
