,unit_ID,school,term,url,count,context
437,102298,East Georgia State College,increase student financial aid,https://www.ega.edu/qep,0,NoContext
436,102298,East Georgia State College,salary increase,https://www.ajc.com/news/local-education/pay-raises-again-this-year-for-college-presidents/zndi6ki85vji5jrq8etyxh/,0,NoContext
440,102298,East Georgia State College,expand financial aid,https://www.collegetransfer.org/eastgeorgiacollege/transferprofile/tabid/145/default.aspx,0,NoContext
434,102298,East Georgia State College,new scholarships,http://www.ega.edu/correll,0,NoContext
432,102298,East Georgia State College,new scholarships,http://www.ega.edu/scholarships,0,NoContext
431,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"e university   kennesaw state university is now accepting applications for a full-time, nine-month, tenure track assistant or associate professor of microbiology.    view details assistant or associat"
435,102298,East Georgia State College,new scholarships,http://www.free-4u.com/colleges/east-georgia-state-college.html,0,NoContext
429,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"         sign up for job alerts  get new jobs for this search by email    create alert     found 11 tenured & tenure-track, georgia jobs     assistant/associate professor of biology    albany, ga  alb"
428,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,sciences  remove selection         employer type     employer  11       position type     tenured & tenure-track  remove selection         institution type     four-year institution  11       location
427,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"ogy, life sciences  remove selection         employer type     employer  11       position type     tenured & tenure-track  remove selection         institution type     four-year institution  11     "
426,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"   broaden your search   life sciences, tenured & tenure-track  73  science & technology, tenured & tenure-track, georgia  25   refine your search   faculty jobs     science & technology, life science"
425,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"ds           broaden your search   life sciences, tenured & tenure-track  73  science & technology, tenured & tenure-track, georgia  25   refine your search   faculty jobs     science & technology, li"
424,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"ts  email        keyword search   keywords           broaden your search   life sciences, tenured & tenure-track  73  science & technology, tenured & tenure-track, georgia  25   refine your search   f"
423,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"fine results  email        keyword search   keywords           broaden your search   life sciences, tenured & tenure-track  73  science & technology, tenured & tenure-track, georgia  25   refine your "
430,102298,East Georgia State College,tenure,https://careers.insidehighered.com/jobs/life-sciences/tenured-and-tenure-track/georgia/,1,"ign up for job alerts  get new jobs for this search by email    create alert     found 11 tenured & tenure-track, georgia jobs     assistant/associate professor of biology    albany, ga  albany state "
