,index,unit_ID,school,term,url,metadata_date
201,201,102632,Quinnipiac University,tenure,http://careers.pageuppeople.com/871/ci/en-us/job/492878/fulltime-tenure-track-faculty-finance,No meta date
202,202,102632,Quinnipiac University,tenure,https://connect.aom.org/community/messages/viewthread?groupid=415&mid=179539&communitykey=7f2497ff-7ca5-485b-8bb8-b1c59477b677&tab=digestviewer&returnurl=%2fcommunity%2fmessages,No meta date
203,203,102632,Quinnipiac University,tenure,http://www.digra.org/job-full-time-tenure-track-faculty-game-design-development-quinnipiac-university/,No meta date
204,204,102632,Quinnipiac University,reduce benefits,https://poll.qu.edu/national/release-detail?releaseid=882,No meta date
205,205,102632,Quinnipiac University,reduce benefits,https://quonline.quinnipiac.edu/financial-aid-and-tuition/military-benefits.php,No meta date
206,206,102632,Quinnipiac University,increase benefits,https://poll.qu.edu/national/release-detail?releaseid=1993,No meta date
207,207,102632,Quinnipiac University,increase benefits,https://careers.qu.edu/benefits.html,No meta date
208,208,102632,Quinnipiac University,increase benefits,https://www.pullcom.com/newsroom-pressreleases-press-release-aclu-of-connecticut-and-quinnipiac-university-reach-settlement-in-historic-title-ix-case,No meta date
209,209,102632,Quinnipiac University,increase pay,https://poll.qu.edu/florida/release-detail?releaseid=2630,No meta date
210,210,102632,Quinnipiac University,increase pay,https://www.qu.edu/schools/communications/programs/ms-public-relations.html,No meta date
211,211,102632,Quinnipiac University,increase pay,https://parents.qu.edu/finances.html,No meta date
212,212,102632,Quinnipiac University,increase pay,https://www.qu.edu/schools/health-sciences/programs/mhs-advanced-medical-imaging-leadership.html,No meta date
213,213,102632,Quinnipiac University,increase pay,https://www.collegecalc.org/colleges/connecticut/quinnipiac-university/,No meta date
214,214,102632,Quinnipiac University,increase pay,https://www.floridatrend.com/article/27123/lorida-voters-support-almost-4-1-minimum-wage-hike-quinnipiac-university-poll-finds-voters-split-on-making-felons-pay-fines-before-voting,['2020-03-24T02:00:13-0400']
215,215,102632,Quinnipiac University,increase pay,https://www.courant.com/education/hc-quinnipiac-yale-college-presidents-pay-20171211-story.html,No meta date
